Algorithm,Function,Mean,Std,Convergence
JSO,F17,1712.347,9.804,1:4416114731.823;100:4007.136;200:1720.43;300:1713.417;400:1712.543;500:1712.471;600:1712.447;700:1712.423;800:1712.403;900:1712.395;1000:1712.388;1100:1712.37;1200:1712.355;1300:1712.348;1400:1712.348;1500:1712.347;1600:1712.347
JSO,F18,1801.26,0.299,1:7.4654511293719e+16;100:6604.688;200:1804.709;300:1802.848;400:1802.23;500:1802.031;600:1801.893;700:1801.799;800:1801.731;900:1801.697;1000:1801.656;1100:1801.563;1200:1801.369;1300:1801.27;1400:1801.261;1500:1801.261;1600:1801.26
JSO,F19,1910.093,7.794,1:12296.216;100:2052.644;200:1951.779;300:1934.873;400:1929.049;500:1925.428;600:1923.146;700:1921.428;800:1919.741;900:1918.932;1000:1918.204;1100:1916.139;1200:1911.209;1300:1910.429;1400:1910.211;1500:1910.133;1600:1910.094
JSO,F20,2144.934,51.39,1:20426.824;100:2228.499;200:2158.542;300:2153.374;400:2150.073;500:2148.211;600:2147.226;700:2146.74;800:2146.447;900:2146.166;1000:2145.856;1100:2145.673;1200:2145.193;1300:2144.966;1400:2144.941;1500:2144.936;1600:2144.934
JSO,F21,2895.205,218.473,1:4186.805;100:2895.469;200:2895.205;300:2895.205;400:2895.205;500:2895.205;600:2895.205;700:2895.205;800:2895.205;900:2895.205;1000:2895.205;1100:2895.205;1200:2895.205;1300:2895.205;1400:2895.205;1500:2895.205;1600:2895.205
JSO,F22,2316.667,37.268,1:16030.913;100:2465.606;200:2316.68;300:2316.667;400:2316.667;500:2316.667;600:2316.667;700:2316.667;800:2316.667;900:2316.667;1000:2316.667;1100:2316.667;1200:2316.667;1300:2316.667;1400:2316.667;1500:2316.667;1600:2316.667
JSO,F23,2400.0,0.0,1:12302.37;100:2619.35;200:2400.021;300:2400.0;400:2400.0;500:2400.0;600:2400.0;700:2400.0;800:2400.0;900:2400.0;1000:2400.0;1100:2400.0;1200:2400.0;1300:2400.0;1400:2400.0;1500:2400.0;1600:2400.0
JSO,F24,2911.617,23.012,1:4147.054;100:2929.7;200:2912.102;300:2911.815;400:2911.751;500:2911.676;600:2911.665;700:2911.664;800:2911.654;900:2911.645;1000:2911.64;1100:2911.633;1200:2911.624;1300:2911.618;1400:2911.617;1500:2911.617;1600:2911.617
JSO,F25,2535.426,132.55,1:6418.706;100:2593.131;200:2535.429;300:2535.426;400:2535.426;500:2535.426;600:2535.426;700:2535.426;800:2535.426;900:2535.426;1000:2535.426;1100:2535.426;1200:2535.426;1300:2535.426;1400:2535.426;1500:2535.426;1600:2535.426
JSO,F26,3248.278,415.35,1:5204.585;100:4067.929;200:3391.654;300:3249.012;400:3248.324;500:3248.303;600:3248.283;700:3248.279;800:3248.278;900:3248.278;1000:3248.278;1100:3248.278;1200:3248.278;1300:3248.278;1400:3248.278;1500:3248.278;1600:3248.278
